No.;Time;Source;Destination;Protocol;Length;Info;;;time 1;time 2;Delay;Delay 1;Delay 2;jitter 
93;1.402844;20.205.146.149;192.168.1.7;TLSv1.3;1506;Application Data [TCP segment of a reassembled PDU];;;1.402844;1.402889;4.5E-05;-0.000859;0.000904;0.001763
94;1.402889;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4066 Ack=9286 Win=66048 Len=0;;;1.402889;1.403793;0.000904;0.000847;5.7E-05;-0.00079
95;1.403793;20.205.146.149;192.168.1.7;TLSv1.3;984;Application Data, Application Data, Application Data;;;1.403793;1.40385;5.7E-05;-0.001094;0.001151;0.002245
96;1.40385;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4066 Ack=10216 Win=65280 Len=0;;;1.40385;1.405001;0.001151;-0.023325;0.024476;0.047801
97;1.405001;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [FIN, ACK] Seq=4066 Ack=10216 Win=65280 Len=0;;;1.405001;1.429477;0.024476;0.024337;0.000139;-0.024198
98;1.429477;20.205.146.149;192.168.1.7;TCP;54;443  >  62860 [FIN, ACK] Seq=10216 Ack=4067 Win=64128 Len=0;;;1.429477;1.429616;0.000139;-2.000569;2.000708;4.001277
99;1.429616;192.168.1.7;20.205.146.149;TCP;54;62860  >  443 [ACK] Seq=4067 Ack=10217 Win=65280 Len=0;;;1.429616;3.430324;2.000708;1.973174;0.027534;-1.94564
100;3.430324;192.168.1.7;20.197.71.89;TLSv1.2;98;Application Data;;;3.430324;3.457858;0.027534;-0.023471;0.051005;0.074476
101;3.457858;20.197.71.89;192.168.1.7;TLSv1.2;229;Application Data;;;3.457858;3.508863;0.051005;-0.728373;0.779378;1.507751
161;3.508863;192.168.1.7;20.197.71.89;TCP;54;49730  >  443 [ACK] Seq=45 Ack=176 Win=258 Len=0;;;3.508863;4.288241;0.779378;0.562532;0.216846;-0.345686
571;4.288241;192.168.1.7;52.109.8.21;TCP;66;62861  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;4.288241;4.505087;0.216846;0.216642;0.000204;-0.216438
572;4.505087;52.109.8.21;192.168.1.7;TCP;66;443  >  62861 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1;;;4.505087;4.505291;0.000204;-0.001191;0.001395;0.002586
573;4.505291;192.168.1.7;52.109.8.21;TCP;54;62861  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0;;;4.505291;4.506686;0.001395;-0.217084;0.218479;0.435563
574;4.506686;192.168.1.7;52.109.8.21;TLSv1.2;267;Client Hello;;;4.506686;4.725165;0.218479;0.218313;0.000166;-0.218147
575;4.725165;52.109.8.21;192.168.1.7;TCP;1506;443  >  62861 [ACK] Seq=1 Ack=214 Win=525312 Len=1452 [TCP segment of a reassembled PDU];;;4.725165;4.725331;0.000166;0.000122;4.4E-05;-7.8E-05
576;4.725331;52.109.8.21;192.168.1.7;TCP;1506;443  >  62861 [ACK] Seq=1453 Ack=214 Win=525312 Len=1452 [TCP segment of a reassembled PDU];;;4.725331;4.725375;4.4E-05;-0.000349;0.000393;0.000742
577;4.725375;192.168.1.7;52.109.8.21;TCP;54;62861  >  443 [ACK] Seq=214 Ack=2905 Win=66048 Len=0;;;4.725375;4.725768;0.000393;0.000225;0.000168;-5.7E-05
578;4.725768;52.109.8.21;192.168.1.7;TCP;1506;443  >  62861 [ACK] Seq=2905 Ack=214 Win=525312 Len=1452 [TCP segment of a reassembled PDU];;;4.725768;4.725936;0.000168;0.000124;4.4E-05;-8E-05
579;4.725936;52.109.8.21;192.168.1.7;TCP;1506;443  >  62861 [ACK] Seq=4357 Ack=214 Win=525312 Len=1452 [TCP segment of a reassembled PDU];;;4.725936;4.72598;4.4E-05;-0.00011;0.000154;0.000264
580;4.72598;192.168.1.7;52.109.8.21;TCP;54;62861  >  443 [ACK] Seq=214 Ack=5809 Win=66048 Len=0;;;4.72598;4.726134;0.000154;-0.011062;0.011216;0.022278
581;4.726134;52.109.8.21;192.168.1.7;TLSv1.2;58;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;4.726134;4.73735;0.011216;-0.205374;0.21659;0.421964
582;4.73735;192.168.1.7;52.109.8.21;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;4.73735;4.95394;0.21659;0.216422;0.000168;-0.216254
583;4.95394;52.109.8.21;192.168.1.7;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;4.95394;4.954108;0.000168;0.000119;4.9E-05;-7E-05
584;4.954108;52.109.8.21;192.168.1.7;TLSv1.2;123;Application Data;;;4.954108;4.954157;4.9E-05;-0.012642;0.012691;0.025333
